throughput	time
85434.067	2019-08-28T15:32:40.000Z
86386.733	2019-08-28T15:33:10.000Z
81187.867	2019-08-28T15:33:40.000Z
76660.134	2019-08-28T15:34:10.000Z
70133.866	2019-08-28T15:34:40.000Z
81180.967	2019-08-28T15:35:10.000Z
87944.734	2019-08-28T15:35:40.000Z
81751.767	2019-08-28T15:36:10.000Z
74447.5	2019-08-28T15:36:40.000Z
75315.933	2019-08-28T15:37:10.000Z
78513.533	2019-08-28T15:37:40.000Z
75096.033	2019-08-28T15:38:10.000Z
73972.333	2019-08-28T15:38:40.000Z
80761.166	2019-08-28T15:39:10.000Z
82805.366	2019-08-28T15:39:40.000Z
77364.634	2019-08-28T15:40:10.000Z
78070.567	2019-08-28T15:40:40.000Z
77992.733	2019-08-28T15:41:10.000Z
82982.667	2019-08-28T15:41:40.000Z
77694.867	2019-08-28T15:42:10.000Z
88170.567	2019-08-28T15:42:40.000Z
81188.066	2019-08-28T15:43:10.000Z
79744.333	2019-08-28T15:43:40.000Z
82493.467	2019-08-28T15:44:10.000Z
83849.933	2019-08-28T15:44:40.000Z
84196.234	2019-08-28T15:45:10.000Z
96509.1	2019-08-28T15:45:40.000Z
81711.233	2019-08-28T15:46:10.000Z
72798.333	2019-08-28T15:46:40.000Z
77307.9	2019-08-28T15:47:10.000Z
65919.5	2019-08-28T15:47:40.000Z
68697.533	2019-08-28T15:48:10.000Z
69117.567	2019-08-28T15:48:40.000Z
75452.866	2019-08-28T15:49:10.000Z
82601.866	2019-08-28T15:49:40.000Z
71253.533	2019-08-28T15:50:10.000Z
66429.267	2019-08-28T15:50:40.000Z
70323.533	2019-08-28T15:51:10.000Z
68073.7	2019-08-28T15:51:40.000Z
69367.233	2019-08-28T15:52:10.000Z
69007.167	2019-08-28T15:52:40.000Z
78653.433	2019-08-28T15:53:10.000Z
70602.2	2019-08-28T15:53:40.000Z
73747.3	2019-08-28T15:54:10.000Z
69687.367	2019-08-28T15:54:40.000Z
69085.734	2019-08-28T15:55:10.000Z
65622.133	2019-08-28T15:55:40.000Z
62225.967	2019-08-28T15:56:10.000Z
60597.933	2019-08-28T15:56:40.000Z
59090.1	2019-08-28T15:57:10.000Z
59155.166	2019-08-28T15:57:40.000Z
64228.934	2019-08-28T15:58:10.000Z
61220.9	2019-08-28T15:58:40.000Z
65567.133	2019-08-28T15:59:10.000Z
65685.867	2019-08-28T15:59:40.000Z
63275.534	2019-08-28T16:00:10.000Z
63713.066	2019-08-28T16:00:40.000Z
71095	2019-08-28T16:01:10.000Z
82225.633	2019-08-28T16:01:40.000Z
62662.5	2019-08-28T16:02:10.000Z
72542.833	2019-08-28T16:02:40.000Z
73451.333	2019-08-28T16:03:10.000Z
71556.033	2019-08-28T16:03:40.000Z
84933.3	2019-08-28T16:04:10.000Z
70756.833	2019-08-28T16:04:40.000Z
73008.9	2019-08-28T16:05:10.000Z
67316.767	2019-08-28T16:05:40.000Z
64450.367	2019-08-28T16:06:10.000Z
71967.134	2019-08-28T16:06:40.000Z
86396.767	2019-08-28T16:07:10.000Z
65942.333	2019-08-28T16:07:40.000Z
65959	2019-08-28T16:08:10.000Z
68752.333	2019-08-28T16:08:40.000Z
62673.333	2019-08-28T16:09:10.000Z
87017.4	2019-08-28T16:09:40.000Z
85717.867	2019-08-28T16:10:10.000Z
80666.933	2019-08-28T16:10:40.000Z
80062.633	2019-08-28T16:11:10.000Z
88472.567	2019-08-28T16:11:40.000Z
77699.633	2019-08-28T16:12:10.000Z
84061.267	2019-08-28T16:12:40.000Z
82743.134	2019-08-28T16:13:10.000Z
107702.266	2019-08-28T16:13:40.000Z
104046.566	2019-08-28T16:14:10.000Z
85349.267	2019-08-28T16:14:40.000Z
84621.867	2019-08-28T16:15:10.000Z
83180.967	2019-08-28T16:15:40.000Z
93832.866	2019-08-28T16:16:10.000Z
79970.6	2019-08-28T16:16:40.000Z
77261.4	2019-08-28T16:17:10.000Z
85535.167	2019-08-28T16:17:40.000Z
80080.533	2019-08-28T16:18:10.000Z
93606.2	2019-08-28T16:18:40.000Z
100435.033	2019-08-28T16:19:10.000Z
92348.067	2019-08-28T16:19:40.000Z
99640.767	2019-08-28T16:20:10.000Z
78321.966	2019-08-28T16:20:40.000Z
78226.367	2019-08-28T16:21:10.000Z
85595.5	2019-08-28T16:21:40.000Z
77406.567	2019-08-28T16:22:10.000Z
95084.866	2019-08-28T16:22:40.000Z
92796.467	2019-08-28T16:23:10.000Z
92123.567	2019-08-28T16:23:40.000Z
98970.833	2019-08-28T16:24:10.000Z
80634.734	2019-08-28T16:24:40.000Z
91291.333	2019-08-28T16:25:10.000Z
84439.233	2019-08-28T16:25:40.000Z
69811.066	2019-08-28T16:26:10.000Z
82859.8	2019-08-28T16:26:40.000Z
79374.366	2019-08-28T16:27:10.000Z
80621.467	2019-08-28T16:27:40.000Z
73347	2019-08-28T16:28:10.000Z
94001.5	2019-08-28T16:28:40.000Z
98799.533	2019-08-28T16:29:10.000Z
88447.7	2019-08-28T16:29:40.000Z
77400.467	2019-08-28T16:30:10.000Z
94575.433	2019-08-28T16:30:40.000Z
74572.367	2019-08-28T16:31:10.000Z
100266.333	2019-08-28T16:31:40.000Z
80162.134	2019-08-28T16:32:10.000Z
96715	2019-08-28T16:32:40.000Z
100936.766	2019-08-28T16:33:10.000Z
85618.6	2019-08-28T16:33:40.000Z
75623.767	2019-08-28T16:34:10.000Z
86583.333	2019-08-28T16:34:40.000Z
86502.4	2019-08-28T16:35:10.000Z
76249.033	2019-08-28T16:35:40.000Z
70377.5	2019-08-28T16:36:10.000Z
73752.267	2019-08-28T16:36:40.000Z
70844.367	2019-08-28T16:37:10.000Z
70456.5	2019-08-28T16:37:40.000Z
65687.3	2019-08-28T16:38:10.000Z
78298.333	2019-08-28T16:38:40.000Z
88447.533	2019-08-28T16:39:10.000Z
76689.267	2019-08-28T16:39:40.000Z
91980.167	2019-08-28T16:40:10.000Z
101514.9	2019-08-28T16:40:40.000Z
82020.733	2019-08-28T16:41:10.000Z
91429.867	2019-08-28T16:41:40.000Z
80053.233	2019-08-28T16:42:10.000Z
69485.333	2019-08-28T16:42:40.000Z
77459.533	2019-08-28T16:43:10.000Z
100691.067	2019-08-28T16:43:40.000Z
